,filename,CE_g,CE_by,CE_rg,SC_g,SC_by,SC_rg,animal,name_length,BG,B_norm,condition
6604,im_8223.jpg,0.00186568,0.000415974,0.00053004,0.451535833,0.379391036,0.471060475,0.0,13,0.381146706,0.084480585,
3195,im_4415.jpg,0.0008846339999999999,0.00020534900000000002,0.0003607,0.640488877,0.438093216,0.582386991,0.0,13,0.381186846,0.036448201,
3519,im_4707.jpg,0.001068444,0.000904693,0.000401021,0.562147693,0.512868482,0.665267826,0.0,13,0.38199937100000003,0.055257272,
3969,im_5292.jpg,0.001485543,0.00044957199999999997,0.000319412,0.436457435,0.392864196,0.6233178970000001,0.0,13,0.382511758,0.09742088199999999,LOW_NA
5293,im_6664.jpg,0.001065247,0.003460222,0.000860115,0.624798949,0.38750477200000005,0.542515497,0.0,13,0.38317994299999997,0.11689828699999999,
810,im_1729.jpg,0.00122461,0.00031423599999999996,0.000588649,0.535253876,0.42667604299999995,0.66854132,0.0,13,0.386087526,0.074627615,
3543,im_4729.jpg,0.00043109400000000003,0.00080287,0.0028550140000000003,0.705379978,0.491544889,0.614209171,0.0,13,0.38626278299999994,0.029167191000000002,LOW_NA
3313,im_4521.jpg,5.44e-06,0.000781683,0.00046284699999999995,0.6011135470000001,0.268303907,0.574791801,0.0,13,0.386646721,0.011112691999999999,
3702,im_5051.jpg,0.002431017,0.000609421,0.000825448,0.416963935,0.40304472399999997,0.565067938,0.0,13,0.386803633,0.09616790300000001,
3250,im_4465.jpg,0.000293529,5.98e-05,0.000479845,0.49781544899999997,0.309268819,0.47801180299999996,0.0,13,0.386824228,0.011804051000000001,
6552,im_8172.jpg,0.001548648,0.000150757,0.00305668,0.575133836,0.312063258,0.6535058229999999,1.0,13,0.38692652200000005,0.10889425800000001,LOW_A
3222,im_444.jpg,5.8200000000000005e-05,0.000157791,0.000219481,0.37581135600000004,0.36633942399999997,0.8599942279999999,0.0,12,0.387565585,0.019737545,
6589,im_8208.jpg,0.000164776,0.0007458260000000001,0.0052508419999999995,0.544684307,0.535602128,0.496662007,0.0,13,0.388325715,0.009814165,LOW_NA
1372,im_2414.jpg,0.000709344,0.00025817,0.000491419,0.5445421460000001,0.42236651700000005,0.7258691429999999,1.0,13,0.388640548,0.041100103,LOW_A
850,im_1765.jpg,0.00245159,0.000772518,0.001607031,0.265102571,0.275380959,0.80672034,0.0,13,0.389600231,0.127201234,
1020,im_2098.jpg,5.1e-06,7.75e-05,0.000412736,0.37598865299999995,0.46733922,1.187663843,1.0,13,0.38991402799999997,0.005164292,LOW_A
3030,im_4267.jpg,0.001554584,0.000568798,0.000569465,0.352769504,0.41931902200000004,0.542017483,0.0,13,0.38994268299999996,0.1119507,LOW_NA
1156,im_222.jpg,0.00179107,0.000147211,6.49e-05,0.577198564,0.42859936,0.5645288310000001,1.0,12,0.390257334,0.092037255,LOW_A
3563,im_4747.jpg,0.0009261660000000001,0.0008039669999999999,0.00057529,0.634003737,0.30865698399999997,0.49318264799999995,0.0,13,0.392179464,0.07455315900000001,
3310,im_4519.jpg,0.000857511,0.000754656,0.001008787,0.400453005,0.42977357899999996,0.520142114,0.0,13,0.392697125,0.118356596,
5388,im_675.jpg,0.000754272,9.77e-05,0.001614846,0.564179335,0.372413903,0.657695205,0.0,12,0.39270479999999997,0.033604457000000004,
2094,im_3244.jpg,0.000103095,0.000428545,0.000119395,0.418780155,0.576326296,0.609806471,1.0,13,0.39447304,0.029794876,
5080,im_6472.jpg,0.0015636089999999999,0.000238803,0.00239993,0.534546721,0.36103815100000003,0.573634248,0.0,13,0.394693165,0.109221761,LOW_NA
5157,im_6541.jpg,0.00158939,0.00099136,0.00128911,0.570042478,0.421437866,0.6554348210000001,0.0,13,0.394923333,0.087314315,
4048,im_5363.jpg,0.002328223,0.000365873,0.00644756,0.5407781110000001,0.386081596,0.375163333,0.0,13,0.394967539,0.09815299400000001,LOW_NA
1121,im_2189.jpg,0.002090647,0.000379114,0.000374505,0.40844616100000003,0.360415548,0.562197085,1.0,13,0.395315643,0.149082089,
4437,im_5713.jpg,0.000697638,0.001010566,0.000679244,0.46833927299999994,0.421890339,0.8917076009999999,1.0,13,0.39535113200000005,0.107873959,LOW_A
2186,im_3327.jpg,0.000130973,0.000330127,0.000722486,0.47452351299999995,0.293508941,0.5779743310000001,1.0,13,0.395973809,0.016139436,LOW_A
5283,im_6655.jpg,0.000494841,0.00018156400000000003,0.000339212,0.59605145,0.29862499,0.524369631,0.0,13,0.396535931,0.018623432,LOW_NA
5182,im_6564.jpg,0.00176858,0.002400361,0.004050502,0.6405760189999999,0.385031436,0.577425282,0.0,13,0.39663625799999996,0.117247912,
705,im_1634.jpg,0.001033686,0.001457798,0.0005679659999999999,0.557520415,0.377087471,0.47267599299999996,0.0,13,0.39672544299999996,0.11427136199999999,
1620,im_2638.jpg,0.001643966,0.000659483,0.000288515,0.553901467,0.428099292,0.6351164570000001,1.0,13,0.397574982,0.09102924300000001,
3577,im_476.jpg,0.000749289,0.000385576,0.001272023,0.50900691,0.551081361,0.8038571040000001,0.0,12,0.398030734,0.061786522,LOW_NA
6558,im_8178.jpg,0.001421366,0.00011915,0.000214267,0.427279389,0.47747267,0.839443407,1.0,13,0.398262385,0.14320802300000002,LOW_A
619,im_1557.jpg,0.0011287439999999999,0.00036930400000000004,0.000606663,0.5403543670000001,0.378463705,0.314272206,0.0,13,0.398950889,0.044011982000000005,
4459,im_5733.jpg,0.002739888,0.000545437,0.00022613,0.463049865,0.372457805,0.606967579,1.0,13,0.399071595,0.114384098,
5220,im_6599.jpg,0.002209041,0.002281048,0.000376378,0.61982778,0.428612201,0.562538891,0.0,13,0.39917938700000005,0.147471942,LOW_NA
6736,im_8354.jpg,0.001293171,0.001147827,0.0020303689999999998,0.6473599329999999,0.47386446,0.6145798920000001,0.0,13,0.40044871299999996,0.111736734,
1478,im_251.jpg,5.65e-06,9.470000000000001e-05,0.000464648,0.422648071,0.222179049,0.7900062609999999,1.0,12,0.400957073,0.001614665,LOW_A
3515,im_4703.jpg,0.000319875,0.00021143599999999999,0.00023306599999999998,0.44165954399999996,0.331174955,0.511960869,0.0,13,0.401461494,0.014496973,
1212,im_2270.jpg,0.00013296100000000002,0.0005052430000000001,0.002012426,0.676702259,0.380683929,0.678287421,1.0,13,0.40154855700000003,0.010482229000000001,
1957,im_3120.jpg,0.00010690799999999999,0.002148728,5.16e-05,0.441180845,0.430717315,0.657908547,1.0,13,0.401740521,0.062089487,LOW_A
1810,im_289.jpg,0.001915105,0.000323065,0.00019717400000000002,0.454516166,0.390609246,0.5869422879999999,1.0,12,0.402055521,0.118460045,
5280,im_6652.jpg,0.001294206,0.002572919,0.001934787,0.5730869710000001,0.361626994,0.46228219200000004,0.0,13,0.403026292,0.165528347,
1937,im_3102.jpg,0.000295536,0.0017505429999999998,0.001948551,0.573949711,0.34384265399999997,0.531055994,1.0,13,0.403041608,0.041748392,LOW_A
4043,im_5359.jpg,0.000493497,0.0018973570000000001,0.00123471,0.670035508,0.427931901,0.467645222,0.0,13,0.403587488,0.053346332999999996,
3117,im_4345.jpg,1.1400000000000001e-05,6.29e-05,7.46e-05,0.54507541,0.256677857,0.657012872,0.0,13,0.403925931,0.003237143,LOW_NA
1674,im_2687.jpg,0.00138569,0.000517984,0.0004906590000000001,0.52114127,0.416479905,0.590246381,1.0,13,0.40397580299999997,0.152257742,
5899,im_739.jpg,0.000606613,0.000330434,0.000273809,0.352201162,0.502762055,0.7156563,0.0,12,0.40418804700000005,0.051490972,
605,im_1544.jpg,0.0007004380000000001,0.000321995,0.00318918,0.550058267,0.323451104,0.47495358600000004,0.0,13,0.404396097,0.02994608,LOW_NA
420,im_1378.jpg,0.00049778,0.00024572200000000003,0.00032293,0.527966038,0.702457639,0.7099116809999999,1.0,13,0.40444716399999997,0.036791918,LOW_A
3602,im_4782.jpg,0.00023924599999999998,0.000415485,0.00019108299999999999,0.594623389,0.38779834,0.552678813,0.0,13,0.40479068799999995,0.014223963999999999,
5746,im_7251.jpg,0.000634619,0.000211643,0.000373942,0.603776326,0.49083585,0.849895856,0.0,13,0.40563023200000003,0.049975009,LOW_NA
18,im_1015.jpg,0.0009294710000000001,0.00068989,0.0014316939999999998,0.516944692,0.43272249700000004,0.672397997,1.0,13,0.40577883299999995,0.101940791,
6393,im_8014.jpg,0.001529575,0.0005607930000000001,0.000393191,0.733586719,0.49422831100000003,0.855692608,0.0,13,0.406113515,0.083582583,
1169,im_2231.jpg,0.001333641,0.000700106,0.000136028,0.572140517,0.37769295700000005,0.5283936920000001,1.0,13,0.406683775,0.128847261,LOW_A
