ppn,phase,condition,response,reward,count,sum,percent,group
16,t,lh,h,5,59,99,59.59595959595959,lhh
16,t,lh,l,3,40,99,40.4040404040404,lhl
16,t,lm,l,3,53,99,53.535353535353536,lml
16,t,lm,m,1,46,99,46.464646464646464,lmm
16,t,mh,h,5,57,100,56.99999999999999,mhh
16,t,mh,m,1,43,100,43.0,mhm
17,c,lh,h,3,58,100,57.99999999999999,lhh
17,c,lh,l,1,42,100,42.0,lhl
17,c,lm,l,1,45,96,46.875,lml
17,c,lm,m,5,51,96,53.125,lmm
17,c,mh,h,3,55,96,57.291666666666664,mhh
17,c,mh,m,5,41,96,42.70833333333333,mhm
17,lr,h,3,3,94,97,96.90721649484536,h3
17,lr,l,1,1,93,98,94.89795918367348,l1
17,lr,m,5,5,93,97,95.87628865979381,m5
17,t,lh,h,3,61,99,61.61616161616161,lhh
17,t,lh,l,1,38,99,38.38383838383838,lhl
17,t,lm,l,1,36,100,36.0,lml
17,t,lm,m,5,64,100,64.0,lmm
17,t,mh,h,3,55,98,56.12244897959183,mhh
17,t,mh,m,5,43,98,43.87755102040816,mhm
18,c,lh,h,1,43,99,43.43434343434344,lhh
18,c,lh,l,5,56,99,56.56565656565656,lhl
18,c,lm,l,5,51,99,51.515151515151516,lml
18,c,lm,m,3,48,99,48.484848484848484,lmm
18,c,mh,h,1,47,100,47.0,mhh
18,c,mh,m,3,53,100,53.0,mhm
18,lr,h,1,1,96,100,96.0,h1
18,lr,l,5,5,95,100,95.0,l5
18,lr,m,3,3,95,100,95.0,m3
18,t,lh,h,1,47,99,47.474747474747474,lhh
18,t,lh,l,5,52,99,52.52525252525253,lhl
18,t,lm,l,5,52,98,53.06122448979592,lml
18,t,lm,m,3,46,98,46.93877551020408,lmm
18,t,mh,h,1,39,99,39.39393939393939,mhh
18,t,mh,m,3,60,99,60.60606060606061,mhm
19,c,lh,h,1,49,97,50.51546391752577,lhh
19,c,lh,l,5,48,97,49.48453608247423,lhl
19,c,lm,l,5,49,100,49.0,lml
19,c,lm,m,3,51,100,51.0,lmm
19,c,mh,h,1,56,100,56.00000000000001,mhh
19,c,mh,m,3,44,100,44.0,mhm
19,lr,h,1,1,93,100,93.0,h1
19,lr,l,5,5,98,100,98.0,l5
19,lr,m,3,3,99,100,99.0,m3
19,t,lh,h,1,48,100,48.0,lhh
19,t,lh,l,5,52,100,52.0,lhl
19,t,lm,l,5,47,98,47.95918367346938,lml
19,t,lm,m,3,51,98,52.04081632653062,lmm
19,t,mh,h,1,50,98,51.02040816326531,mhh
19,t,mh,m,3,48,98,48.97959183673469,mhm
21,c,lh,h,1,52,100,52.0,lhh
21,c,lh,l,3,48,100,48.0,lhl
21,c,lm,l,3,49,100,49.0,lml
21,c,lm,m,5,51,100,51.0,lmm
21,c,mh,h,1,45,98,45.91836734693878,mhh
21,c,mh,m,5,53,98,54.08163265306123,mhm
21,lr,h,1,1,91,100,91.0,h1
21,lr,l,3,3,89,100,89.0,l3
21,lr,m,5,5,95,99,95.95959595959596,m5
21,t,lh,h,1,49,98,50.0,lhh
21,t,lh,l,3,49,98,50.0,lhl
21,t,lm,l,3,44,98,44.89795918367347,lml
21,t,lm,m,5,54,98,55.10204081632652,lmm
21,t,mh,h,1,43,97,44.329896907216494,mhh
21,t,mh,m,5,54,97,55.670103092783506,mhm
22,c,lh,h,5,54,100,54.0,lhh
22,c,lh,l,3,46,100,46.0,lhl
22,c,lm,l,3,48,100,48.0,lml
22,c,lm,m,1,52,100,52.0,lmm
22,c,mh,h,5,50,100,50.0,mhh
22,c,mh,m,1,50,100,50.0,mhm
22,lr,h,5,5,92,100,92.0,h5
22,lr,l,3,3,99,99,100.0,l3
22,lr,m,1,1,95,98,96.93877551020408,m1
22,t,lh,h,5,39,100,39.0,lhh
22,t,lh,l,3,61,100,61.0,lhl
22,t,lm,l,3,54,99,54.54545454545454,lml
22,t,lm,m,1,45,99,45.45454545454545,lmm
22,t,mh,h,5,51,100,51.0,mhh
22,t,mh,m,1,49,100,49.0,mhm
23,c,lh,h,3,54,100,54.0,lhh
23,c,lh,l,1,46,100,46.0,lhl
23,c,lm,l,1,37,99,37.37373737373738,lml
23,c,lm,m,5,62,99,62.62626262626263,lmm
23,c,mh,h,3,47,99,47.474747474747474,mhh
23,c,mh,m,5,52,99,52.52525252525253,mhm
23,lr,h,3,3,98,100,98.0,h3
23,lr,l,1,1,99,100,99.0,l1
23,lr,m,5,5,100,100,100.0,m5
23,t,lh,h,3,50,100,50.0,lhh
23,t,lh,l,1,50,100,50.0,lhl
23,t,lm,l,1,40,99,40.4040404040404,lml
23,t,lm,m,5,59,99,59.59595959595959,lmm
23,t,mh,h,3,46,100,46.0,mhh
23,t,mh,m,5,54,100,54.0,mhm
24,c,lh,h,3,53,100,53.0,lhh
24,c,lh,l,1,47,100,47.0,lhl
24,c,lm,l,1,50,100,50.0,lml
24,c,lm,m,5,50,100,50.0,lmm
24,c,mh,h,3,44,99,44.44444444444444,mhh
24,c,mh,m,5,55,99,55.55555555555556,mhm
24,lr,h,3,3,92,100,92.0,h3
24,lr,l,1,1,95,99,95.95959595959596,l1
24,lr,m,5,5,97,100,97.0,m5
24,t,lh,h,3,34,99,34.34343434343434,lhh
24,t,lh,l,1,65,99,65.65656565656566,lhl
24,t,lm,l,1,58,100,57.99999999999999,lml
24,t,lm,m,5,42,100,42.0,lmm
24,t,mh,h,3,52,100,52.0,mhh
24,t,mh,m,5,48,100,48.0,mhm
25,c,lh,h,5,35,97,36.08247422680412,lhh
25,c,lh,l,1,62,97,63.91752577319587,lhl
25,c,lm,l,1,55,97,56.70103092783505,lml
25,c,lm,m,3,42,97,43.29896907216495,lmm
25,c,mh,h,5,41,99,41.41414141414141,mhh
25,c,mh,m,3,58,99,58.58585858585859,mhm
25,lr,h,5,5,96,100,96.0,h5
25,lr,l,1,1,89,99,89.8989898989899,l1
25,lr,m,3,3,94,99,94.94949494949495,m3
25,t,lh,h,5,32,100,32.0,lhh
25,t,lh,l,1,68,100,68.0,lhl
25,t,lm,l,1,60,100,60.0,lml
25,t,lm,m,3,40,100,40.0,lmm
25,t,mh,h,5,53,100,53.0,mhh
25,t,mh,m,3,47,100,47.0,mhm
26,c,lh,h,1,47,99,47.474747474747474,lhh
26,c,lh,l,5,52,99,52.52525252525253,lhl
26,c,lm,l,5,43,100,43.0,lml
26,c,lm,m,3,57,100,56.99999999999999,lmm
26,c,mh,h,1,53,98,54.08163265306123,mhh
26,c,mh,m,3,45,98,45.91836734693878,mhm
26,lr,h,1,1,95,100,95.0,h1
26,lr,l,5,5,96,100,96.0,l5
26,lr,m,3,3,96,100,96.0,m3
26,t,lh,h,1,58,99,58.58585858585859,lhh
26,t,lh,l,5,41,99,41.41414141414141,lhl
26,t,lm,l,5,47,100,47.0,lml
26,t,lm,m,3,53,100,53.0,lmm
26,t,mh,h,1,49,100,49.0,mhh
26,t,mh,m,3,51,100,51.0,mhm
27,c,lh,h,5,55,100,55.00000000000001,lhh
27,c,lh,l,3,45,100,45.0,lhl
27,c,lm,l,3,37,97,38.144329896907216,lml
27,c,lm,m,1,60,97,61.855670103092784,lmm
27,c,mh,h,5,55,100,55.00000000000001,mhh
27,c,mh,m,1,45,100,45.0,mhm
27,lr,h,5,5,95,100,95.0,h5
27,lr,l,3,3,97,99,97.97979797979798,l3
27,lr,m,1,1,98,99,98.98989898989899,m1
27,t,lh,h,5,42,97,43.29896907216495,lhh
27,t,lh,l,3,55,97,56.70103092783505,lhl
27,t,lm,l,3,55,96,57.291666666666664,lml
27,t,lm,m,1,41,96,42.70833333333333,lmm
27,t,mh,h,5,53,98,54.08163265306123,mhh
27,t,mh,m,1,45,98,45.91836734693878,mhm
29,c,lh,h,5,71,100,71.0,lhh
29,c,lh,l,1,29,100,28.999999999999996,lhl
29,c,lm,l,1,40,100,40.0,lml
29,c,lm,m,3,60,100,60.0,lmm
29,c,mh,h,5,57,100,56.99999999999999,mhh
29,c,mh,m,3,43,100,43.0,mhm
29,lr,h,5,5,87,97,89.69072164948454,h5
29,lr,l,1,1,93,97,95.87628865979381,l1
29,lr,m,3,3,92,97,94.84536082474226,m3
29,t,lh,h,5,68,99,68.68686868686868,lhh
29,t,lh,l,1,31,99,31.313131313131315,lhl
29,t,lm,l,1,38,98,38.775510204081634,lml
29,t,lm,m,3,60,98,61.224489795918366,lmm
29,t,mh,h,5,50,97,51.546391752577314,mhh
29,t,mh,m,3,47,97,48.45360824742268,mhm
30,c,lh,h,3,49,95,51.578947368421055,lhh
30,c,lh,l,5,46,95,48.421052631578945,lhl
30,c,lm,l,5,49,100,49.0,lml
30,c,lm,m,1,51,100,51.0,lmm
30,c,mh,h,3,69,99,69.6969696969697,mhh
30,c,mh,m,1,30,99,30.303030303030305,mhm
30,lr,h,3,3,98,100,98.0,h3
30,lr,l,5,5,92,99,92.92929292929293,l5
30,lr,m,1,1,99,99,100.0,m1
30,t,lh,h,3,60,100,60.0,lhh
30,t,lh,l,5,40,100,40.0,lhl
30,t,lm,l,5,55,99,55.55555555555556,lml
30,t,lm,m,1,44,99,44.44444444444444,lmm
30,t,mh,h,3,61,100,61.0,mhh
30,t,mh,m,1,39,100,39.0,mhm
31,c,lh,h,5,50,97,51.546391752577314,lhh
31,c,lh,l,1,47,97,48.45360824742268,lhl
31,c,lm,l,1,47,97,48.45360824742268,lml
31,c,lm,m,3,50,97,51.546391752577314,lmm
31,c,mh,h,5,51,96,53.125,mhh
