filename,SC_gray,SC_blue_yellow,SC_red_green,CE_gray,CE_blue_yellow,CE_red_green,BG_diag,B_norm
'im_1038.jpg',0.841904541,0.882504854,1.224966587,0.002438217,0.000887536,0.000510295,0.740044494,0.384359598
'im_1039.jpg',0.864135522,0.680564094,0.833555075,0.003501512,0.001118665,0.000737216,0.874261005,0.564205513
'im_104.jpg',1.454136889,1.43840186,1.541331325,0.00708997,0.003154943,0.001498254,2.018894791,1.680082393
'im_1040.jpg',1.102709969,0.889056686,1.070650622,0.003430411,0.00075178,0.000693047,0.995620344,0.624343968
'im_1041.jpg',1.660967491,1.15222206,1.235154165,0.010001883,0.000960704,0.000619779,2.337437716,2.025851618
'im_1042.jpg',1.286408821,1.076710019,1.500379026,0.006051788,0.000834815,0.001583961,1.512681347,1.203857923
'im_1043.jpg',0.680044679,0.329014931,0.890363005,0.004866288,0.000188836,0.000463572,0.906749666,0.763182523
'im_1044.jpg',0.91250481,0.829254124,0.952266017,0.006628775,0.000983844,0.001108115,1.385795514,1.223599481
'im_1045.jpg',0.621139709,0.501125044,0.691293186,0.006165467,0.000451709,0.000620943,0.745368826,0.618440017
'im_1046.jpg',0.936223685,0.763778533,0.750104373,0.006125605,0.001192259,0.00246005,1.102050301,0.922127508
'im_1047.jpg',0.862485583,0.635400435,0.889900789,0.003897611,0.000796236,0.000587684,0.905581523,0.671180922
'im_1048.jpg',0.677030486,0.481177861,0.5965114,0.006820771,0.001592406,0.000962129,1.434168212,1.324907427
'im_1049.jpg',0.617306767,0.856095092,1.020715472,0.003441784,0.00075592,0.000664187,0.801916032,0.596117132
'im_105.jpg',1.341855351,1.11334084,1.232522852,0.006371258,0.000598555,0.000453531,1.477346999,1.199230064
'im_1050.jpg',1.371028394,1.009707307,1.026383095,0.007176163,0.000960622,0.000439962,1.795646091,1.486689477
'im_1051.jpg',1.103254411,0.797776404,0.999860047,0.007399311,0.00080473,0.00117127,1.546478465,1.360812268
'im_1052.jpg',1.578557009,1.318629228,1.383134019,0.009315462,0.002410069,0.001871382,2.570139347,2.163423245
'im_1053.jpg',0.98687232,0.9127194,1.234177715,0.003641972,0.002077665,0.001001315,1.174567599,0.863536921
'im_1054.jpg',0.582356556,0.413300283,0.712972261,0.000374665,2.24E-05,0.000145008,4.92E-01,0.029016282
'im_1055.jpg',1.098639293,0.844175387,1.142493359,0.004999935,0.000295721,0.000401008,1.045630293,0.797196588
'im_1056.jpg',1.25498717,1.279657307,1.614461274,0.002013287,0.001253108,0.001080839,1.208853347,0.493795967
'im_1057.jpg',0.850988078,0.929551821,1.082312538,0.00214933,0.000609747,0.000871786,0.682857562,0.322464066
'im_1058.jpg',0.783010535,0.484292967,0.60216808,0.004740669,0.000377999,0.000486296,0.992541247,0.866511777
'im_1059.jpg',1.014028712,1.04209846,1.140420156,0.003013281,0.000979228,0.000831584,0.810916117,0.415275456
'im_106.jpg',0.558658527,0.751833885,0.957750749,0.001206803,0.001658476,0.000990996,0.730483393,0.372793665
'im_1060.jpg',0.880170489,0.298534688,0.572537528,0.005921157,0.000152464,0.000194053,1.188816789,1.067446685
'im_1061.jpg',1.332020589,1.17593235,1.167672633,0.006390931,0.001178871,0.000532494,1.421093364,1.10724636
'im_1062.jpg',1.302389919,0.792436322,1.195702976,0.005202323,0.000460381,0.000411331,1.260953133,0.962879656
'im_1063.jpg',1.301668653,1.184215551,1.366829149,0.005879936,0.001952146,0.001276029,1.699053725,1.35155026
'im_1064.jpg',0.735604679,1.009304521,1.274974,0.003691318,0.000690677,0.000908191,0.675636201,0.395807262
'im_1065.jpg',0.489856934,0.269025212,0.624446296,0.00225084,0.000557027,0.000261267,0.520909885,0.295511733
